state_postal_code,state_fips_code,district_id,name,estimated_5_to_17_population,estimated_5_to_17_poverty_population,poverty_rate
AZ,04,00680,Amphitheater Unified District,"19,112","3,345",17.50
AZ,04,00720,Antelope Union High School District,204,43,21.08
AZ,04,00750,Apache Elementary District,10,6,60.00
AZ,04,00790,Apache Junction Unified District,"6,627","1,084",16.36
AZ,04,00840,Arlington Elementary District,183,38,20.77
AZ,04,00870,Ash Creek Elementary District,37,11,29.73
AZ,04,00910,Ash Fork Joint Unified District,251,81,32.27
AZ,04,00960,Avondale Elementary District,"8,501","1,346",15.83
AZ,04,01000,Bagdad Unified School District,502,32,6.37
AZ,04,01050,Balsz Elementary District,"3,780","1,128",29.84
